date,portfolio,cumulative_return
2020-08-04,Equal Weight,0.019993353424517135
2020-08-05,Equal Weight,0.0351889936123424
2020-08-06,Equal Weight,0.03415348842156951
2020-08-07,Equal Weight,0.03332770217416803
2020-08-10,Equal Weight,0.042520380931968305
2020-08-11,Equal Weight,0.04744222218632754
2020-08-12,Equal Weight,0.05395564856030588
2020-08-13,Equal Weight,0.06303420314682806
2020-08-14,Equal Weight,0.05591030724757218
2020-08-17,Equal Weight,0.05707834434440984
2020-08-18,Equal Weight,0.05238929836682926
2020-08-19,Equal Weight,0.06157448786747377
2020-08-20,Equal Weight,0.05928568718862848
2020-08-21,Equal Weight,0.07186717352555183
2020-08-24,Equal Weight,0.09220651680860459
2020-08-25,Equal Weight,0.09870362278486855
2020-08-26,Equal Weight,0.09743363644522329
2020-08-27,Equal Weight,0.10356993937398773
2020-08-28,Equal Weight,0.110717046814792
2020-08-31,Equal Weight,0.11810152080738723
2020-09-01,Equal Weight,0.13291949075610532
2020-09-03,Equal Weight,0.15036226238120687
2020-09-04,Equal Weight,0.14792856224170614
2020-09-07,Equal Weight,0.12819774332645273
2020-09-08,Equal Weight,0.1384705565231208
2020-09-09,Equal Weight,0.1377086372732732
2020-09-10,Equal Weight,0.1357765182626014
2020-09-11,Equal Weight,0.1363619251591328
2020-09-14,Equal Weight,0.14336937584108478
2020-09-15,Equal Weight,0.14634748491365968
2020-09-16,Equal Weight,0.14717144209102218
2020-09-17,Equal Weight,0.14526220366146236
2020-09-18,Equal Weight,0.16073949825617673
2020-09-21,Equal Weight,0.17414333624121658
2020-09-22,Equal Weight,0.17848049350845807
2020-09-23,Equal Weight,0.18703334887779421
2020-09-24,Equal Weight,0.1807047771491106
2020-09-25,Equal Weight,0.18390766074375153
2020-09-28,Equal Weight,0.19758792249999524
2020-09-29,Equal Weight,0.18407242825428916
2020-09-30,Equal Weight,0.18961028754138032
2020-10-01,Equal Weight,0.20586951844541623
2020-10-02,Equal Weight,0.20067707608475915
2020-10-05,Equal Weight,0.21302381401438208
2020-10-06,Equal Weight,0.2214244451756362
2020-10-07,Equal Weight,0.22090074765065904
2020-10-08,Equal Weight,0.22053055049124493
2020-10-09,Equal Weight,0.22988821363145107
2020-10-12,Equal Weight,0.23206679512266692
2020-10-13,Equal Weight,0.23649717256474534
