time,open,high,low,close,volume,symbol
2020-08-03,23.99,24.64,23.99,24.64,5000,BCM
2020-08-04,24.83,27.36,24.83,27.17,80441,BCM
2020-08-05,26.61,29.05,26.61,27.45,54205,BCM
2020-08-06,27.74,27.83,27.08,27.08,27760,BCM
2020-08-07,26.24,27.17,24.36,27.17,22919,BCM
2020-08-10,27.17,29.05,27.17,28.58,133406,BCM
2020-08-11,28.58,29.8,28.3,28.3,86657,BCM
2020-08-12,28.86,29.05,28.11,28.3,30011,BCM
2020-08-13,28.3,28.39,27.83,27.92,62351,BCM
2020-08-14,28.02,28.02,27.36,27.36,53815,BCM
2020-08-17,27.55,29.52,27.17,28.39,70349,BCM
2020-08-18,28.58,28.86,28.39,28.39,34586,BCM
2020-08-19,28.48,28.77,28.2,28.2,38472,BCM
2020-08-31,31.48,31.48,31.48,31.48,215370,BCM
2020-09-01,33.68,33.68,33.68,33.68,131540,BCM
2020-09-03,36.03,36.03,36.03,36.03,70740,BCM
2020-09-04,38.51,38.51,37.01,38.51,695510,BCM
2020-09-07,41.18,41.18,41.13,41.18,165690,BCM
2020-09-08,44.04,44.04,44.04,44.04,186490,BCM
2020-09-09,47.04,47.04,41.23,44.98,456380,BCM
2020-09-10,44.98,45.44,41.84,42.16,667220,BCM
2020-09-11,41.23,42.16,39.26,40.57,237530,BCM
2020-09-14,39.35,39.35,38.14,39.17,221520,BCM
2020-09-15,39.35,41.23,39.35,40.43,96350,BCM
2020-09-16,40.43,40.43,38.88,39.45,37290,BCM
2020-09-17,39.26,39.45,38.88,39.17,65240,BCM
2020-09-18,39.07,39.64,38.93,39.07,70160,BCM
2020-09-21,38.88,39.26,38.42,38.88,92130,BCM
2020-09-22,38.88,39.07,38.51,39.03,86670,BCM
2020-09-23,39.03,39.03,38.51,38.88,73290,BCM
2020-09-24,38.6,38.88,38.42,38.88,62670,BCM
2020-09-25,38.51,38.51,36.54,38.23,77730,BCM
2020-09-28,36.73,38.23,36.73,38.23,120180,BCM
2020-09-29,38.23,38.23,37.1,38.04,43790,BCM
2020-09-30,37.29,38.04,37.25,37.95,65010,BCM
2020-10-01,37.48,37.95,37.25,37.95,58620,BCM
2020-10-02,37.95,37.95,37.01,37.85,34690,BCM
2020-10-05,37.06,37.85,37.06,37.85,32420,BCM
2020-10-06,37.85,37.85,37.34,37.76,14970,BCM
2020-10-07,37.76,37.76,37.29,37.76,42070,BCM
2020-10-08,37.76,37.76,37.34,37.71,19300,BCM
2020-10-09,37.48,37.62,37.29,37.39,24010,BCM
2020-10-12,37.39,37.57,36.92,37.57,31730,BCM
2020-10-13,37.48,37.57,36.36,37.48,21030,BCM
2020-10-14,36.07,37.48,36.07,37.48,38650,BCM
2020-10-15,36.54,37.48,36.45,37.48,56900,BCM
2020-10-16,36.26,37.39,36.26,37.39,49260,BCM
2020-10-19,37.39,37.48,37.01,37.39,22990,BCM
2020-10-20,36.54,37.39,36.54,37.39,22650,BCM
2020-10-21,36.59,37.39,36.59,37.39,29160,BCM
2020-10-22,37.29,37.39,36.59,37.39,32640,BCM
2020-10-23,37.39,37.39,36.59,37.39,33890,BCM
2020-10-26,37.2,37.29,36.64,37.29,8940,BCM
