time,open,high,low,close,volume,symbol
2020-08-03,35.13,37.56,35.13,37.56,766120,BVH
2020-08-04,38.6,40.0,38.34,39.39,741900,BVH
2020-08-05,39.39,40.17,38.69,40.0,848700,BVH
2020-08-06,39.95,39.95,39.26,39.43,446440,BVH
2020-08-07,39.56,39.56,38.82,39.04,478820,BVH
2020-08-10,39.13,39.74,39.13,39.47,364040,BVH
2020-08-11,39.56,39.69,39.3,39.34,216390,BVH
2020-08-12,39.47,39.78,39.13,39.52,333050,BVH
2020-08-13,40.82,41.39,39.56,40.82,920670,BVH
2020-08-14,40.82,40.86,39.78,39.86,584630,BVH
2020-08-17,39.82,39.82,39.3,39.56,230300,BVH
2020-08-18,39.56,39.74,38.69,38.78,762020,BVH
2020-08-19,38.78,39.47,38.78,39.39,348070,BVH
2020-08-20,39.56,39.82,38.91,39.39,378780,BVH
2020-08-21,39.39,39.95,39.39,39.86,438610,BVH
2020-08-24,40.43,40.95,40.04,40.78,948780,BVH
2020-08-25,41.3,41.91,41.17,41.21,1069560,BVH
2020-08-26,41.21,41.65,41.04,41.39,548640,BVH
2020-08-27,41.39,41.56,41.04,41.39,585730,BVH
2020-08-28,41.47,42.08,41.08,41.78,1183880,BVH
2020-08-31,41.95,43.74,41.95,43.39,2226020,BVH
2020-09-01,43.3,44.86,43.13,44.78,1763210,BVH
2020-09-03,44.78,45.3,44.52,44.95,1133940,BVH
2020-09-04,43.91,44.69,43.56,44.6,1202750,BVH
2020-09-07,44.78,45.13,42.65,42.65,1640520,BVH
2020-09-08,43.04,43.47,42.47,43.39,996740,BVH
2020-09-09,42.6,43.3,42.43,42.86,684210,BVH
2020-09-10,43.04,43.47,41.91,42.0,1823420,BVH
2020-09-11,41.13,41.74,41.13,41.43,1033830,BVH
2020-09-14,41.47,43.04,41.47,42.26,546410,BVH
2020-09-15,42.26,42.43,41.74,41.78,517470,BVH
2020-09-16,41.74,41.91,41.69,41.86,362290,BVH
2020-09-17,41.74,42.08,41.74,42.08,521720,BVH
2020-09-18,42.3,42.78,42.26,42.34,950600,BVH
2020-09-21,42.56,43.39,42.43,43.0,980320,BVH
2020-09-22,42.65,43.74,42.6,43.39,880580,BVH
2020-09-23,43.39,43.82,43.21,43.34,651310,BVH
2020-09-24,43.04,43.13,42.6,42.86,613090,BVH
2020-09-25,42.86,43.13,42.6,43.04,538610,BVH
2020-09-28,43.3,43.74,42.86,43.21,538880,BVH
2020-09-29,43.26,43.34,41.74,41.74,1113070,BVH
2020-09-30,41.74,42.43,41.56,42.34,471690,BVH
2020-10-01,42.34,42.65,42.34,42.47,254320,BVH
2020-10-02,42.69,42.69,41.04,42.17,657470,BVH
2020-10-05,42.08,42.21,41.74,41.74,926830,BVH
2020-10-06,42.17,42.56,41.91,42.3,731120,BVH
2020-10-07,42.3,43.65,41.91,43.34,1472800,BVH
2020-10-08,43.74,44.17,43.13,43.34,686840,BVH
2020-10-09,43.17,43.65,42.86,43.3,440560,BVH
2020-10-12,43.65,46.08,43.56,46.0,3903200,BVH
2020-10-13,46.52,47.56,46.08,46.69,2057180,BVH
2020-10-14,46.95,47.56,46.95,47.3,1146350,BVH
2020-10-15,46.95,47.65,46.26,46.95,1663940,BVH
2020-10-16,46.86,46.86,45.73,46.86,1483160,BVH
2020-10-19,47.91,48.69,47.91,48.26,1599020,BVH
2020-10-20,48.26,48.78,46.67,47.64,980240,BVH
2020-10-21,47.64,47.64,45.87,45.87,1321570,BVH
2020-10-22,45.34,47.99,44.99,47.9,1581840,BVH
2020-10-23,48.26,49.31,47.9,48.96,1487560,BVH
2020-10-26,49.22,49.84,47.55,47.55,1570570,BVH
2020-10-27,47.2,47.81,46.4,46.76,960170,BVH
2020-10-28,46.31,46.76,43.67,43.67,1554490,BVH
2020-10-29,43.23,44.82,42.96,44.28,1239150,BVH
2020-10-30,44.82,44.82,43.62,44.55,737940,BVH
2020-11-02,44.55,45.17,43.32,44.99,404520,BVH
2020-11-03,45.43,46.05,45.17,45.87,759870,BVH
2020-11-04,45.87,46.76,45.34,46.4,691310,BVH
2020-11-05,46.4,47.02,46.05,46.05,477620,BVH
2020-11-06,46.05,46.23,45.43,45.87,423060,BVH
2020-11-09,46.23,46.93,45.87,46.67,947000,BVH
2020-11-10,47.55,47.55,46.84,47.2,992420,BVH
2020-11-11,47.2,47.73,46.58,47.02,725960,BVH
2020-11-12,47.2,47.64,46.84,47.64,621470,BVH
2020-11-13,47.64,49.05,47.64,48.7,1229580,BVH
2020-11-16,48.96,48.96,47.55,47.64,1160320,BVH
2020-11-17,47.9,48.43,47.37,48.26,590000,BVH
2020-11-18,48.26,49.14,47.99,48.78,1049940,BVH
2020-11-19,48.61,50.72,48.52,50.2,1615620,BVH
2020-11-20,50.46,50.55,49.93,50.11,460010,BVH
2020-11-23,50.02,50.2,49.4,50.11,859800,BVH
2020-11-24,50.28,51.17,47.64,49.22,1569950,BVH
2020-11-25,49.31,49.84,48.52,48.7,844330,BVH
2020-11-26,48.61,48.78,47.99,48.17,892770,BVH
2020-11-27,48.43,49.22,48.34,49.22,747250,BVH
2020-11-30,49.31,49.84,48.52,48.52,974780,BVH
2020-12-01,47.37,48.96,47.37,48.7,992550,BVH
2020-12-02,48.7,49.22,48.43,49.22,686600,BVH
2020-12-03,49.4,50.11,49.4,49.76,639210,BVH
2020-12-04,49.93,50.11,48.78,48.87,545990,BVH
2020-12-07,48.96,49.67,48.78,49.4,565990,BVH
2020-12-08,49.93,51.34,49.76,50.81,1601980,BVH
2020-12-09,50.81,51.61,50.55,51.08,1283610,BVH
2020-12-10,51.08,51.17,49.84,50.02,1116050,BVH
2020-12-11,50.02,50.72,49.4,50.72,1161870,BVH
2020-12-14,51.17,52.4,50.55,51.7,1530650,BVH
2020-12-15,51.7,52.4,51.17,51.34,1522230,BVH
2020-12-16,51.52,51.7,50.99,51.7,937270,BVH
2020-12-17,51.52,51.7,50.28,50.28,1212490,BVH
2020-12-18,50.28,50.9,49.93,50.37,1271560,BVH
2020-12-21,50.81,50.99,50.2,50.37,1266240,BVH
2020-12-22,50.37,50.64,50.11,50.2,871000,BVH
2020-12-23,50.55,52.93,50.2,51.7,1934620,BVH
2020-12-24,52.05,52.58,50.28,51.52,1191350,BVH
2020-12-25,51.96,55.05,51.43,54.61,2812050,BVH
2020-12-28,54.7,57.52,54.61,56.46,2393040,BVH
2020-12-29,56.37,59.11,55.75,59.11,1342220,BVH
2020-12-30,58.93,59.81,56.9,57.34,1719280,BVH
2020-12-31,57.34,58.93,56.46,58.22,1317310,BVH
2021-01-04,59.11,59.55,57.87,58.49,1192300,BVH
2021-01-05,57.78,58.49,57.69,58.22,1018200,BVH
2021-01-06,58.66,59.81,58.22,58.66,1472400,BVH
2021-01-07,58.66,59.46,58.66,59.11,898000,BVH
2021-01-08,59.81,60.87,59.64,60.25,1639800,BVH
2021-01-11,61.14,61.14,59.02,60.08,1106000,BVH
2021-01-12,59.81,60.34,59.19,60.16,641100,BVH
2021-01-13,60.87,62.81,60.43,62.1,1738600,BVH
2021-01-14,62.02,62.46,60.16,61.75,710400,BVH
2021-01-15,61.93,61.93,60.78,61.22,1399200,BVH
2021-01-18,61.22,61.49,60.16,60.52,1008300,BVH
2021-01-19,60.52,60.87,56.28,57.34,1798900,BVH
2021-01-20,56.55,57.52,53.46,56.72,1133400,BVH
2021-01-21,56.9,58.22,56.55,57.96,638500,BVH
2021-01-22,58.22,58.4,56.46,57.08,685900,BVH
2021-01-25,56.9,57.08,56.46,56.46,695400,BVH
2021-01-26,56.46,56.46,52.93,53.37,1166900,BVH
2021-01-27,52.22,53.64,50.46,51.17,931000,BVH
2021-01-28,48.08,50.28,47.64,47.64,1256500,BVH
2021-01-29,44.99,50.46,44.99,49.84,1069500,BVH
2021-02-01,50.2,50.72,47.11,47.2,1216900,BVH
2021-02-02,47.9,48.96,46.14,48.26,573400,BVH
2021-02-03,49.4,51.61,49.4,51.61,810900,BVH
2021-02-04,52.84,52.84,51.25,51.25,922900,BVH
2021-02-05,52.05,53.11,51.61,52.93,588100,BVH
2021-02-08,53.81,53.81,49.49,50.64,914200,BVH
2021-02-09,50.64,52.84,50.28,52.84,743300,BVH
2021-02-17,53.37,54.61,52.93,54.61,872100,BVH
2021-02-18,54.7,54.78,53.37,54.61,803300,BVH
2021-02-19,53.81,54.61,53.72,54.25,424400,BVH
2021-02-22,54.25,54.43,53.37,53.9,585300,BVH
2021-02-23,53.37,53.72,52.67,53.37,954000,BVH
2021-02-24,53.72,53.99,52.31,52.67,603300,BVH
2021-02-25,52.93,53.37,52.05,52.58,676100,BVH
2021-02-26,52.05,52.58,51.87,52.14,556000,BVH
2021-03-01,52.67,54.7,52.4,54.52,941100,BVH
2021-03-02,55.58,55.58,54.25,54.52,996300,BVH
2021-03-03,54.61,54.7,53.99,54.08,489900,BVH
2021-03-04,54.61,54.61,52.49,52.93,491000,BVH
2021-03-05,52.75,52.75,51.61,52.05,744100,BVH
2021-03-08,52.05,53.02,52.05,52.14,784000,BVH
2021-03-09,52.05,52.14,51.08,51.96,570700,BVH
2021-03-10,52.05,52.93,51.61,52.58,464200,BVH
2021-03-11,53.37,53.55,53.02,53.37,561200,BVH
2021-03-12,53.64,54.17,52.93,53.37,675600,BVH
2021-03-15,53.37,53.46,52.93,53.02,393400,BVH
2021-03-16,53.02,53.28,52.22,52.58,379700,BVH
2021-03-17,52.75,52.75,52.22,52.58,391200,BVH
2021-03-18,53.37,53.64,52.84,53.55,958800,BVH
2021-03-19,53.55,56.2,53.55,53.81,3085100,BVH
2021-03-22,55.58,55.66,54.78,54.87,1133700,BVH
2021-03-23,54.87,55.05,53.9,54.43,868900,BVH
2021-03-24,53.2,53.99,51.87,52.49,1152100,BVH
2021-03-25,52.67,52.84,52.05,52.4,615600,BVH
2021-03-26,52.22,52.49,50.28,51.52,788600,BVH
2021-03-29,52.05,52.31,51.61,52.22,522800,BVH
2021-03-30,52.93,53.37,52.4,52.93,882200,BVH
2021-03-31,52.75,53.02,52.14,52.58,571200,BVH
2021-04-01,52.84,53.81,52.49,53.72,1192800,BVH
2021-04-02,54.25,55.22,53.99,54.52,1382400,BVH
2021-04-05,55.58,55.58,53.55,53.55,1021500,BVH
2021-04-06,53.37,54.7,53.2,54.34,938700,BVH
2021-04-07,54.34,56.28,54.34,55.93,2403200,BVH
2021-04-08,56.11,56.2,54.7,55.05,713300,BVH
2021-04-09,54.7,55.58,54.52,55.05,551500,BVH
2021-04-12,55.4,55.4,54.25,55.05,1036800,BVH
2021-04-13,55.14,55.14,53.2,53.64,1533800,BVH
2021-04-14,53.02,53.55,52.67,53.55,1345100,BVH
2021-04-15,53.99,54.17,52.49,52.49,1388500,BVH
2021-04-16,52.05,52.93,50.72,51.08,1365000,BVH
2021-04-19,51.7,52.67,50.9,52.49,711700,BVH
2021-04-20,52.67,53.81,52.31,52.93,1224900,BVH
2021-04-22,52.93,53.37,51.17,51.17,1053600,BVH
2021-04-23,51.17,52.05,50.64,52.05,779100,BVH
2021-04-26,52.14,52.14,50.28,50.64,895000,BVH
2021-04-27,50.64,50.72,49.84,50.2,590900,BVH
2021-04-28,50.37,50.64,49.93,50.64,553200,BVH
2021-04-29,50.64,51.08,50.2,50.55,393800,BVH
2021-05-04,49.4,49.67,48.61,49.05,1157300,BVH
2021-05-05,49.4,50.28,49.14,49.67,824900,BVH
2021-05-06,49.67,50.72,49.05,49.4,719300,BVH
2021-05-07,49.14,49.4,47.73,47.81,1177400,BVH
2021-05-10,47.64,49.67,46.58,49.49,1265100,BVH
2021-05-11,49.93,50.37,49.05,49.4,1034700,BVH
2021-05-12,49.31,50.2,48.96,50.11,915400,BVH
2021-05-13,49.4,49.84,48.87,49.05,828000,BVH
2021-05-14,49.31,49.76,48.87,49.22,947900,BVH
2021-05-17,49.22,49.4,47.99,48.17,661300,BVH
2021-05-18,48.17,48.34,47.46,47.64,663200,BVH
2021-05-19,47.64,47.64,46.93,46.93,596100,BVH
2021-05-20,46.93,47.11,45.87,46.58,1023200,BVH
2021-05-21,46.49,48.43,45.96,47.02,826800,BVH
2021-05-24,48.26,48.34,47.64,47.9,461100,BVH
2021-05-25,47.9,49.22,47.81,48.7,939400,BVH
2021-05-26,48.78,49.58,48.7,48.96,925900,BVH
2021-05-27,48.87,50.11,45.61,49.49,1109600,BVH
2021-05-28,49.4,49.49,48.7,48.96,499300,BVH
2021-05-31,48.52,48.87,47.64,47.73,653800,BVH
2021-06-01,47.73,48.08,47.11,47.28,680900,BVH
2021-06-02,47.28,47.37,46.84,47.28,658100,BVH
2021-06-03,47.64,48.96,47.46,48.43,823800,BVH
2021-06-04,48.52,50.72,48.52,50.37,2013000,BVH
2021-06-07,50.72,52.49,50.46,51.61,2320700,BVH
2021-06-08,51.61,52.49,49.67,50.28,1326600,BVH
2021-06-09,49.84,50.02,48.52,49.76,1088500,BVH
2021-06-10,49.76,49.76,48.7,48.96,1007100,BVH
2021-06-11,49.4,50.81,49.31,50.55,1430200,BVH
2021-06-14,51.61,53.55,51.17,52.93,3394700,BVH
2021-06-15,52.93,54.25,52.67,53.99,2252500,BVH
2021-06-16,53.81,54.25,52.93,53.2,1462800,BVH
2021-06-17,52.31,54.7,52.14,54.7,1926300,BVH
2021-06-18,54.7,54.96,53.81,53.81,1363900,BVH
2021-06-21,53.81,53.81,52.22,52.67,1610800,BVH
2021-06-22,53.37,53.81,52.75,52.84,1477500,BVH
2021-06-23,53.37,53.37,51.17,51.87,1583600,BVH
2021-06-24,51.61,52.75,51.08,51.17,1278900,BVH
2021-06-25,51.17,51.61,50.37,51.43,1040900,BVH
2021-06-28,52.05,53.2,51.52,52.93,1030400,BVH
2021-06-29,52.93,53.11,51.96,52.14,930900,BVH
2021-06-30,52.14,52.4,51.52,51.52,804400,BVH
2021-07-01,51.96,52.31,51.17,52.05,1073300,BVH
2021-07-02,52.49,52.84,51.7,52.14,959500,BVH
2021-07-05,52.14,52.14,50.9,51.43,1030100,BVH
2021-07-06,51.25,51.87,49.31,49.31,2888400,BVH
2021-07-07,49.31,49.31,47.37,48.08,2063400,BVH
2021-07-08,48.17,49.67,47.99,48.43,1036200,BVH
2021-07-09,48.34,48.87,46.84,46.84,1000800,BVH
2021-07-12,46.14,46.76,43.58,44.37,1807900,BVH
2021-07-13,44.82,45.34,43.67,44.73,914200,BVH
2021-07-14,44.82,45.17,43.23,44.11,793300,BVH
2021-07-15,43.67,44.55,43.67,44.55,886900,BVH
2021-07-16,44.99,45.78,44.73,44.99,1521200,BVH
2021-07-19,44.02,44.37,42.34,42.34,1039700,BVH
2021-07-20,42.34,44.02,41.46,44.02,803900,BVH
2021-07-21,44.02,44.11,43.45,43.67,372300,BVH
2021-07-22,43.76,44.99,43.58,44.82,621400,BVH
2021-07-23,44.64,45.43,44.46,44.46,1060900,BVH
2021-07-26,43.76,44.9,43.67,44.64,488800,BVH
2021-07-27,45.26,45.34,44.37,44.55,656700,BVH
2021-07-28,44.11,44.99,44.11,44.28,320800,BVH
2021-07-29,44.55,44.73,44.28,44.46,427200,BVH
2021-07-30,44.46,45.43,44.46,45.08,960300,BVH
2021-07-30,44.46,45.43,44.46,45.08,960300,BVH
2021-08-02,45.61,46.67,45.17,46.14,981300,BVH
2021-08-03,46.4,47.2,46.31,46.49,711900,BVH
2021-08-04,46.76,47.64,46.49,47.46,1162100,BVH
2021-08-05,47.11,47.37,46.84,47.28,659800,BVH
2021-08-06,47.2,47.64,46.49,47.46,1125800,BVH
2021-08-09,46.93,47.81,46.84,47.55,736800,BVH
2021-08-10,47.64,47.99,46.93,47.11,694400,BVH
2021-08-11,47.28,48.34,47.11,47.81,1348500,BVH
2021-08-12,47.81,48.96,47.81,48.78,1430300,BVH
2021-08-13,48.7,48.7,47.55,47.99,828900,BVH
2021-08-16,48.08,48.43,47.55,47.81,1051700,BVH
2021-08-17,47.81,47.9,47.28,47.28,884100,BVH
2021-08-18,47.64,48.78,47.55,48.26,1304200,BVH
2021-08-19,48.43,48.7,48.08,48.52,779400,BVH
2021-08-20,48.52,48.78,45.78,47.11,1584200,BVH
2021-08-23,46.93,46.93,45.87,45.87,1178300,BVH
