time,open,high,low,close,volume,symbol
2020-08-03,45.1,46.62,45.03,46.41,536220,GAS
2020-08-04,47.31,47.31,46.76,47.03,387300,GAS
2020-08-05,47.03,47.58,46.83,47.38,566050,GAS
2020-08-06,47.31,48.21,47.24,48.0,640610,GAS
2020-08-07,48.0,48.83,47.79,48.48,571770,GAS
2020-08-10,48.55,49.1,48.48,48.69,469290,GAS
2020-08-11,48.69,48.9,48.14,48.34,550870,GAS
2020-08-12,48.69,49.45,48.34,49.17,973330,GAS
2020-08-13,50.14,50.35,49.38,50.14,951630,GAS
2020-08-14,49.73,50.28,49.59,49.93,870730,GAS
2020-08-17,49.73,50.0,49.17,49.73,460890,GAS
2020-08-18,50.42,50.42,49.38,49.66,297780,GAS
2020-08-19,49.73,49.93,49.59,49.8,224530,GAS
2020-08-20,49.66,49.86,49.04,49.04,444340,GAS
2020-08-21,49.17,49.8,49.1,49.73,494700,GAS
2020-08-24,49.86,50.76,49.86,50.42,638880,GAS
2020-08-25,50.56,51.45,50.56,50.97,722600,GAS
2020-08-26,51.11,51.38,50.76,50.76,431210,GAS
2020-08-27,50.69,50.69,50.07,50.42,501290,GAS
2020-08-28,51.11,51.8,50.49,51.25,1011700,GAS
2020-08-31,51.38,51.8,50.76,51.18,549950,GAS
2020-09-01,51.18,52.14,50.97,52.08,844110,GAS
2020-09-03,52.49,52.63,52.0,52.35,587250,GAS
2020-09-04,51.18,51.94,51.18,51.52,937330,GAS
2020-09-07,51.38,51.38,49.73,49.73,1336130,GAS
2020-09-08,49.73,50.62,49.73,49.73,663940,GAS
2020-09-09,49.04,49.73,48.97,49.52,740970,GAS
2020-09-10,50.07,50.35,49.66,49.73,620770,GAS
2020-09-11,49.52,50.07,49.24,49.59,264100,GAS
2020-09-14,49.73,50.07,49.31,49.31,557430,GAS
2020-09-15,49.86,49.93,49.31,49.93,727700,GAS
2020-09-16,50.0,50.42,49.73,49.73,353430,GAS
2020-09-17,50.07,50.28,49.52,49.52,398140,GAS
2020-09-18,49.86,50.21,49.45,50.07,373220,GAS
2020-09-21,50.35,50.83,49.8,50.28,939720,GAS
2020-09-22,50.21,50.35,49.66,49.66,821590,GAS
2020-09-23,50.07,50.76,49.86,50.21,823090,GAS
2020-09-24,50.21,50.97,50.0,50.76,820660,GAS
2020-09-25,50.76,50.83,50.14,50.49,459680,GAS
2020-09-28,50.49,50.76,49.86,49.86,417070,GAS
2020-09-29,49.86,50.42,49.38,49.38,1073200,GAS
2020-09-30,49.38,49.73,49.24,49.24,615450,GAS
2020-10-01,49.38,50.0,49.38,50.0,252570,GAS
2020-10-02,50.0,50.07,49.1,49.66,612860,GAS
2020-10-05,49.66,50.28,49.45,50.07,704400,GAS
