time,open,high,low,close,volume,symbol
2020-08-03,67.93,68.77,67.21,67.61,163920,SAB
2020-08-04,67.61,69.17,67.61,68.49,242370,SAB
2020-08-05,69.61,72.41,68.65,70.41,298550,SAB
2020-08-06,71.57,73.41,70.81,73.01,213840,SAB
2020-08-07,72.81,73.81,72.01,73.61,160550,SAB
2020-08-10,73.25,74.41,71.97,71.97,151620,SAB
2020-08-11,71.97,72.37,70.85,71.41,147070,SAB
2020-08-12,71.41,72.21,71.41,71.57,138750,SAB
2020-08-13,73.21,73.61,72.29,73.21,72580,SAB
2020-08-14,73.21,75.57,72.81,74.01,242070,SAB
2020-08-17,73.61,73.81,72.25,73.53,91080,SAB
2020-08-18,73.61,73.61,72.01,72.25,67930,SAB
2020-08-19,72.25,72.93,72.17,72.25,76720,SAB
2020-08-20,72.25,72.81,71.85,71.85,117630,SAB
2020-08-21,72.01,72.77,71.85,71.85,110610,SAB
2020-08-24,72.05,73.61,72.05,73.21,96690,SAB
2020-08-25,73.21,75.25,73.21,74.61,134910,SAB
2020-08-26,74.81,75.21,73.69,73.69,88320,SAB
2020-08-27,73.69,74.41,73.21,73.21,76590,SAB
2020-08-28,74.21,74.41,72.81,72.81,97130,SAB
2020-08-31,73.97,77.17,73.25,76.61,271460,SAB
2020-09-01,77.61,77.61,76.01,76.01,131710,SAB
2020-09-03,76.77,77.89,76.53,77.53,148770,SAB
2020-09-04,76.81,78.21,76.65,76.89,140040,SAB
2020-09-07,77.61,78.41,76.89,76.89,188280,SAB
2020-09-08,76.93,77.21,76.01,76.49,106590,SAB
2020-09-09,76.37,76.45,75.21,76.01,123070,SAB
2020-09-10,76.81,76.81,75.61,75.61,79060,SAB
2020-09-11,75.61,76.37,75.21,75.21,62980,SAB
2020-09-14,75.61,75.81,74.81,75.29,49050,SAB
2020-09-15,75.61,76.41,75.29,75.29,36360,SAB
2020-09-16,76.41,76.41,75.29,75.29,43570,SAB
2020-09-17,75.29,75.97,75.29,75.29,101220,SAB
2020-09-18,75.29,76.21,75.29,75.53,45640,SAB
2020-09-21,75.73,76.73,75.73,76.01,99530,SAB
2020-09-22,76.49,76.97,75.61,75.61,149610,SAB
2020-09-23,76.69,76.69,75.81,76.01,35640,SAB
2020-09-24,76.01,76.17,74.81,74.81,70830,SAB
2020-09-25,74.89,75.41,74.81,74.81,143900,SAB
2020-09-28,74.81,75.21,74.81,75.21,80960,SAB
2020-09-29,75.21,75.29,74.01,74.01,132450,SAB
2020-09-30,74.01,74.21,72.85,73.33,149060,SAB
2020-10-01,74.01,74.05,73.33,73.81,22330,SAB
2020-10-02,73.57,73.97,73.41,73.81,45510,SAB
2020-10-05,74.41,74.41,73.81,73.81,74270,SAB
2020-10-06,74.09,74.73,73.85,74.53,55370,SAB
2020-10-07,74.53,76.01,74.41,76.01,64920,SAB
2020-10-08,76.01,76.01,75.21,75.21,46140,SAB
2020-10-09,75.61,77.21,75.05,77.21,120760,SAB
2020-10-12,77.61,78.33,75.25,75.25,237110,SAB
2020-10-13,76.37,76.37,73.21,73.61,234100,SAB
2020-10-14,73.61,78.37,73.61,76.01,119830,SAB
2020-10-15,76.41,77.01,75.41,76.01,168860,SAB
2020-10-16,76.21,76.57,75.41,75.41,129690,SAB
2020-10-19,75.21,75.41,74.85,75.09,125140,SAB
2020-10-20,75.09,75.09,74.01,74.25,153360,SAB
2020-10-21,75.61,75.61,74.05,74.29,86940,SAB
2020-10-22,74.29,74.81,73.89,74.01,34260,SAB
2020-10-23,74.21,74.61,74.01,74.33,179100,SAB
2020-10-26,74.41,75.41,74.01,74.01,88480,SAB
2020-10-27,74.21,74.73,73.89,74.05,40620,SAB
2020-10-28,73.69,74.41,73.61,73.81,106000,SAB
2020-10-29,73.05,74.33,73.05,73.81,98050,SAB
2020-10-30,74.41,74.41,73.65,73.73,64260,SAB
2020-11-02,73.73,74.37,70.41,74.21,83850,SAB
2020-11-03,74.29,74.41,73.61,74.21,79990,SAB
2020-11-04,74.41,74.49,73.97,74.21,59300,SAB
2020-11-05,74.01,74.53,73.81,73.81,45060,SAB
2020-11-06,74.01,74.01,73.65,73.65,71100,SAB
2020-11-09,74.17,74.21,73.41,73.49,98730,SAB
2020-11-10,74.17,74.21,72.81,72.81,113900,SAB
2020-11-11,73.61,73.61,72.69,72.73,93800,SAB
2020-11-12,72.73,73.57,72.73,73.37,36230,SAB
2020-11-13,73.21,74.01,73.21,74.01,42160,SAB
2020-11-16,74.41,74.81,72.73,72.73,203680,SAB
2020-11-17,73.65,73.65,72.69,72.89,185660,SAB
2020-11-18,72.89,74.21,72.89,73.45,167810,SAB
2020-11-19,73.61,77.49,73.61,77.49,224980,SAB
2020-11-20,76.01,77.21,76.01,76.81,152640,SAB
2020-11-23,76.81,76.97,75.97,76.21,114550,SAB
2020-11-24,76.13,76.81,75.45,75.69,110210,SAB
2020-11-25,75.69,77.69,75.69,76.89,194220,SAB
2020-11-26,77.21,78.41,77.21,78.01,252940,SAB
2020-11-27,78.01,78.61,77.33,77.41,62480,SAB
2020-11-30,78.01,78.01,76.8,77.4,189880,SAB
2020-12-01,77.32,78.21,76.84,78.21,107090,SAB
2020-12-02,78.21,79.71,77.81,79.55,179880,SAB
2020-12-03,79.51,79.51,78.46,78.82,96410,SAB
2020-12-04,78.82,82.46,78.82,81.65,159810,SAB
2020-12-07,81.65,84.28,81.65,83.67,76500,SAB
2020-12-08,83.71,84.48,83.26,83.26,122260,SAB
2020-12-09,82.09,82.86,80.84,81.04,102350,SAB
2020-12-10,81.65,82.17,80.07,80.07,61250,SAB
2020-12-11,80.07,82.74,80.07,82.74,48840,SAB
2020-12-14,82.46,82.74,82.05,82.46,53970,SAB
2020-12-15,82.66,82.66,80.27,80.44,116620,SAB
2020-12-16,80.84,82.01,80.44,80.48,29800,SAB
2020-12-17,80.84,81.65,74.86,80.03,206620,SAB
2020-12-18,80.03,81.65,79.42,81.57,105530,SAB
2020-12-21,81.57,81.61,80.48,80.84,47370,SAB
2020-12-22,80.64,80.72,79.95,80.64,81000,SAB
2020-12-23,80.64,80.84,79.63,79.63,94860,SAB
2020-12-24,80.03,80.64,78.82,80.03,71760,SAB
2020-12-25,80.23,80.23,79.22,80.03,44010,SAB
2020-12-28,80.11,80.48,79.42,79.67,111170,SAB
2020-12-29,79.67,81.65,79.42,80.8,80630,SAB
2020-12-30,80.84,81.57,80.36,80.84,97540,SAB
2020-12-31,80.84,81.12,78.82,78.82,146100,SAB
2021-01-04,80.23,81.24,78.9,80.6,159700,SAB
2021-01-05,80.6,80.68,79.95,80.44,123300,SAB
2021-01-06,80.03,80.27,78.82,80.23,164600,SAB
2021-01-07,80.15,80.44,79.26,79.95,129900,SAB
2021-01-08,79.95,80.8,79.95,80.11,152900,SAB
2021-01-11,80.44,82.86,80.19,81.77,170700,SAB
2021-01-12,82.74,83.26,81.85,83.06,192900,SAB
2021-01-13,83.67,85.29,83.26,83.71,226400,SAB
2021-01-14,84.88,84.88,82.86,82.86,155100,SAB
2021-01-15,82.86,83.02,80.84,81.04,229500,SAB
2021-01-18,80.64,81.0,79.71,81.0,136900,SAB
2021-01-19,81.0,81.0,75.58,78.01,134700,SAB
2021-01-20,78.01,78.7,76.8,78.7,226800,SAB
2021-01-21,78.94,78.94,77.61,78.42,165200,SAB
2021-01-22,78.7,78.7,77.97,78.42,131000,SAB
2021-01-25,78.42,79.06,77.61,78.42,144200,SAB
2021-01-26,78.37,78.37,75.18,76.8,227400,SAB
2021-01-27,75.38,76.76,73.69,75.5,227600,SAB
2021-01-28,72.76,73.24,70.25,70.25,284400,SAB
2021-01-29,68.71,74.29,65.36,65.36,508600,SAB
2021-02-01,69.93,69.93,69.93,69.93,109000,SAB
2021-02-02,72.19,72.76,71.74,72.35,459900,SAB
2021-02-03,72.35,72.76,71.95,72.35,240500,SAB
2021-02-04,72.35,74.78,72.35,73.6,296100,SAB
2021-02-05,73.56,73.64,73.32,73.52,112500,SAB
2021-02-08,74.29,74.29,69.52,70.33,141100,SAB
2021-02-09,70.33,73.12,70.33,72.84,129900,SAB
2021-02-17,72.84,73.56,72.76,73.32,162000,SAB
2021-02-18,73.36,77.81,73.16,77.81,195500,SAB
2021-02-19,77.2,77.81,76.39,77.48,150200,SAB
2021-02-22,76.03,77.36,76.03,76.8,101100,SAB
2021-02-23,76.8,76.8,74.78,75.18,224000,SAB
2021-02-24,75.99,75.99,74.78,74.9,58100,SAB
2021-02-25,75.18,76.39,74.94,75.79,92700,SAB
2021-02-26,75.18,75.99,74.94,75.99,62100,SAB
2021-03-01,75.99,76.03,74.78,75.91,111500,SAB
2021-03-02,76.19,76.19,73.79,75.54,105500,SAB
2021-03-03,75.54,75.54,74.36,74.48,103200,SAB
2021-03-04,74.56,74.65,70.49,72.53,219900,SAB
2021-03-05,72.53,72.53,71.51,71.92,178600,SAB
2021-03-08,71.96,72.12,70.9,71.31,203100,SAB
2021-03-09,71.51,71.51,70.29,70.49,167500,SAB
2021-03-10,70.49,70.9,70.49,70.61,182100,SAB
2021-03-11,71.71,71.92,70.9,71.71,193500,SAB
2021-03-12,72.4,72.53,71.92,72.53,65900,SAB
2021-03-15,72.53,72.61,71.92,72.12,114100,SAB
2021-03-16,72.12,73.67,72.04,73.59,91200,SAB
2021-03-17,72.94,73.59,72.85,73.02,93200,SAB
2021-03-18,73.34,73.67,73.26,73.59,66800,SAB
2021-03-19,73.34,73.34,72.12,73.34,75100,SAB
2021-03-22,73.34,73.34,72.2,72.94,40700,SAB
