time,open,high,low,close,volume,symbol
2020-08-03,5.22,5.5,5.18,5.45,2448825,SHB
2020-08-04,5.54,5.68,5.45,5.68,4077299,SHB
2020-08-05,5.68,5.81,5.59,5.81,2609136,SHB
2020-08-06,5.81,5.81,5.63,5.77,2234716,SHB
2020-08-07,5.72,5.81,5.63,5.63,2302905,SHB
2020-08-10,5.63,5.77,5.63,5.72,2303126,SHB
2020-08-11,5.68,5.72,5.32,5.68,1533420,SHB
2020-08-12,5.63,5.72,5.59,5.68,1479341,SHB
2020-08-13,5.72,5.72,5.59,5.72,2493483,SHB
2020-08-14,5.72,5.72,5.45,5.63,3428998,SHB
2020-08-17,5.59,5.63,5.5,5.63,1279175,SHB
2020-08-18,5.59,5.63,5.5,5.59,1662460,SHB
2020-08-19,5.59,6.13,5.54,6.13,8288650,SHB
2020-08-20,6.08,6.26,5.99,6.04,1569654,SHB
2020-08-21,6.04,6.08,5.99,6.04,2665504,SHB
2020-08-24,5.9,6.31,5.9,6.17,3605438,SHB
2020-08-25,6.17,6.31,6.08,6.13,3263808,SHB
2020-08-26,6.13,6.17,6.04,6.04,2974127,SHB
2020-08-27,6.04,6.13,5.99,6.13,2860231,SHB
2020-08-28,6.13,6.44,6.13,6.31,7182491,SHB
2020-08-31,6.31,6.44,6.26,6.26,3840833,SHB
2020-09-01,6.4,6.4,6.22,6.35,2901069,SHB
2020-09-03,6.35,6.49,6.26,6.35,3325319,SHB
2020-09-04,6.35,6.35,6.08,6.31,2911562,SHB
2020-09-07,6.31,6.4,6.17,6.22,4914333,SHB
2020-09-08,6.22,6.26,6.13,6.22,2420180,SHB
2020-09-09,6.17,6.26,6.08,6.26,2020868,SHB
2020-09-10,6.26,6.35,6.26,6.26,2441284,SHB
2020-09-11,6.26,6.67,6.26,6.58,7119274,SHB
2020-09-14,6.58,6.67,6.44,6.53,3928684,SHB
2020-09-15,6.58,6.58,6.49,6.53,3327918,SHB
2020-09-16,6.53,6.58,6.44,6.44,2044800,SHB
2020-09-17,6.44,6.62,6.44,6.49,3230366,SHB
2020-09-18,6.49,6.58,6.49,6.53,2645106,SHB
2020-09-21,6.58,6.94,6.58,6.76,6373333,SHB
2020-09-22,6.76,7.03,6.71,6.94,6059487,SHB
2020-09-23,6.98,7.03,6.89,6.98,3871713,SHB
2020-09-24,6.98,7.03,6.89,6.94,3043715,SHB
2020-09-25,6.94,6.98,6.8,6.94,4512426,SHB
2020-09-28,6.98,7.16,6.89,7.03,2913564,SHB
2020-09-29,7.03,7.12,6.85,6.85,3785398,SHB
2020-09-30,6.85,6.94,6.8,6.94,2039515,SHB
2020-10-01,6.94,6.98,6.89,6.94,2220008,SHB
2020-10-02,6.94,7.07,6.8,6.94,5375873,SHB
2020-10-05,6.94,7.16,6.94,7.03,2325000,SHB
2020-10-06,7.07,7.07,6.94,6.94,2903600,SHB
2020-10-07,6.94,7.07,6.89,6.94,3639400,SHB
2020-10-08,6.98,6.98,6.85,6.94,2372400,SHB
2020-10-09,6.94,7.07,6.94,7.03,3677300,SHB
2020-10-12,7.03,7.16,6.94,6.98,2898400,SHB
2020-10-13,7.03,7.03,6.89,6.94,2180200,SHB
2020-10-14,6.94,7.07,6.89,7.03,3876000,SHB
2020-10-15,7.03,7.43,7.03,7.34,7859200,SHB
2020-10-16,7.34,7.48,7.25,7.3,2616200,SHB
2020-10-19,7.3,7.3,7.16,7.21,3038100,SHB
2020-10-20,7.21,7.21,7.07,7.12,2968500,SHB
2020-10-21,7.12,7.25,7.12,7.12,2205400,SHB
2020-10-22,7.16,7.16,7.03,7.07,1745800,SHB
2020-10-23,7.12,7.34,7.07,7.25,5918300,SHB
2020-10-26,7.3,7.39,7.16,7.16,3339200,SHB
2020-10-27,7.16,7.21,7.07,7.07,2651400,SHB
2020-10-28,7.03,7.07,6.76,6.76,4074800,SHB
2020-10-29,6.76,6.94,6.67,6.8,2796000,SHB
2020-10-30,6.85,6.98,6.76,6.94,1457900,SHB
2020-11-02,6.98,7.03,6.89,7.03,1635800,SHB
2020-11-03,7.07,7.12,7.03,7.12,2057800,SHB
2020-11-04,7.12,7.21,7.07,7.21,2194400,SHB
2020-11-05,7.16,7.21,7.07,7.12,2194100,SHB
2020-11-06,7.12,7.25,7.07,7.25,3303200,SHB
2020-11-09,7.25,7.66,7.21,7.66,7664200,SHB
2020-11-10,7.66,7.88,7.61,7.66,3546000,SHB
2020-11-11,7.61,7.7,7.52,7.66,2424400,SHB
2020-11-12,7.66,7.88,7.57,7.88,3558900,SHB
2020-11-13,7.88,7.88,7.7,7.79,3702300,SHB
2020-11-16,7.79,7.84,7.61,7.66,2900300,SHB
2020-11-17,7.66,7.79,7.61,7.79,3650700,SHB
