time,open,high,low,close,volume,symbol
2020-08-03,6.16,6.48,6.16,6.43,5017010,SSI
2020-08-04,6.54,6.59,6.41,6.54,4642760,SSI
2020-08-05,6.48,6.7,6.45,6.61,4672060,SSI
2020-08-06,6.59,6.64,6.52,6.54,4168520,SSI
2020-08-07,6.54,6.59,6.48,6.5,2562160,SSI
2020-08-10,6.61,6.66,6.57,6.57,3288010,SSI
2020-08-11,6.64,6.73,6.57,6.7,5313900,SSI
2020-08-12,6.73,6.75,6.61,6.68,2877790,SSI
2020-08-13,6.77,6.8,6.66,6.77,3734680,SSI
2020-08-14,6.75,6.8,6.59,6.66,4301340,SSI
2020-08-17,6.66,6.66,6.5,6.61,3811840,SSI
2020-08-18,6.61,6.66,6.54,6.57,1931160,SSI
2020-08-19,6.54,6.66,6.54,6.64,2670190,SSI
2020-08-20,6.64,6.66,6.54,6.54,2703510,SSI
2020-08-21,6.59,6.7,6.54,6.7,3758250,SSI
2020-08-24,6.77,6.89,6.73,6.84,7044900,SSI
2020-08-25,6.91,6.96,6.82,6.84,4611300,SSI
2020-08-26,6.86,6.93,6.82,6.86,5419820,SSI
2020-08-27,6.86,6.91,6.82,6.89,3711300,SSI
2020-08-28,6.96,7.02,6.89,6.89,5869960,SSI
2020-08-31,6.91,6.96,6.77,6.8,3994730,SSI
2020-09-01,6.77,6.89,6.75,6.89,3449300,SSI
2020-09-03,7.0,7.0,6.89,6.96,4876180,SSI
2020-09-04,6.84,7.16,6.77,7.02,9713580,SSI
2020-09-07,7.07,7.23,6.98,7.0,9582630,SSI
2020-09-08,7.05,7.21,6.98,7.21,6831470,SSI
2020-09-09,7.07,7.25,7.05,7.23,7044490,SSI
2020-09-10,7.28,7.37,7.23,7.23,8787650,SSI
2020-09-11,7.21,7.28,7.16,7.18,4402790,SSI
2020-09-14,7.23,7.25,7.14,7.18,4644580,SSI
2020-09-15,7.21,7.37,7.18,7.21,7005050,SSI
2020-09-16,7.21,7.34,7.21,7.25,3807390,SSI
2020-09-17,7.28,7.32,7.21,7.3,6000380,SSI
2020-09-18,7.3,7.5,7.28,7.43,7903190,SSI
2020-09-21,7.5,7.64,7.46,7.53,8122870,SSI
2020-09-22,7.46,7.57,7.46,7.55,6821140,SSI
2020-09-23,7.55,7.66,7.55,7.62,5699700,SSI
2020-09-24,7.57,7.66,7.53,7.55,4564860,SSI
2020-09-25,7.57,7.59,7.41,7.5,7290520,SSI
2020-09-28,7.55,7.73,7.55,7.71,5215260,SSI
2020-09-29,7.78,7.82,7.62,7.64,6122220,SSI
2020-09-30,7.64,7.75,7.57,7.73,4432160,SSI
2020-10-01,7.8,8.21,7.75,8.12,10321030,SSI
2020-10-02,8.16,8.23,7.75,8.1,10961430,SSI
2020-10-05,8.23,8.35,8.12,8.32,6672820,SSI
2020-10-06,8.32,8.37,8.19,8.28,5228170,SSI
2020-10-07,8.21,8.28,8.12,8.14,5770720,SSI
2020-10-08,8.19,8.23,8.03,8.14,4663470,SSI
2020-10-09,8.21,8.32,8.14,8.21,3870610,SSI
2020-10-12,8.3,8.3,8.1,8.14,4849320,SSI
2020-10-13,8.14,8.19,8.0,8.0,4374250,SSI
2020-10-14,8.03,8.26,7.96,8.26,5379490,SSI
2020-10-15,8.35,8.37,8.23,8.28,4732880,SSI
2020-10-16,8.26,8.35,8.19,8.28,4444100,SSI
2020-10-19,8.35,8.53,8.28,8.37,9462400,SSI
2020-10-20,8.37,8.37,8.16,8.3,4191320,SSI
