time,open,high,low,close,volume,symbol
2020-08-03,6.14,6.14,6.11,6.13,23300,TPB
2020-08-04,6.23,6.38,6.13,6.2,75210,TPB
2020-08-05,6.38,6.38,6.17,6.23,26400,TPB
2020-08-06,6.23,6.23,6.16,6.23,51960,TPB
2020-08-07,6.29,6.29,6.17,6.2,22300,TPB
2020-08-10,6.2,6.26,6.2,6.23,63600,TPB
2020-08-11,6.26,6.26,6.2,6.26,38000,TPB
2020-08-12,6.26,6.29,6.23,6.26,41650,TPB
2020-08-13,6.33,6.33,6.28,6.33,12850,TPB
2020-08-14,6.26,6.35,6.24,6.24,26190,TPB
2020-08-17,6.17,6.26,6.17,6.24,31080,TPB
2020-08-18,6.32,6.32,6.19,6.26,70860,TPB
2020-08-19,6.32,6.32,6.2,6.28,25160,TPB
2020-08-20,6.2,6.35,6.2,6.35,150390,TPB
2020-08-21,6.41,6.56,6.41,6.53,219380,TPB
2020-08-24,6.7,6.75,6.62,6.64,457370,TPB
2020-08-25,6.64,6.66,6.59,6.66,281750,TPB
2020-08-26,6.68,6.68,6.62,6.62,150080,TPB
2020-08-27,6.64,6.64,6.53,6.62,128510,TPB
2020-08-28,6.64,6.64,6.57,6.62,266980,TPB
2020-08-31,6.64,6.7,6.62,6.68,214630,TPB
2020-09-01,6.73,7.03,6.7,6.94,565870,TPB
2020-09-03,6.94,7.0,6.82,6.99,375140,TPB
2020-09-04,6.91,6.94,6.82,6.87,378370,TPB
2020-09-07,6.87,6.94,6.76,6.76,1393600,TPB
2020-09-08,6.76,6.85,6.76,6.81,1094670,TPB
2020-09-09,6.76,6.84,6.72,6.82,1336480,TPB
2020-09-10,6.84,6.91,6.82,6.9,1455720,TPB
2020-09-11,6.88,6.88,6.82,6.87,1144310,TPB
2020-09-14,6.88,6.91,6.82,6.84,1036980,TPB
2020-09-15,6.82,6.85,6.78,6.81,1276570,TPB
2020-09-16,6.82,6.84,6.78,6.81,1310010,TPB
2020-09-17,6.81,6.84,6.78,6.81,1330110,TPB
2020-09-18,6.81,7.1,6.78,7.05,2844100,TPB
2020-09-21,7.12,7.14,7.02,7.03,1445490,TPB
2020-09-22,7.0,7.27,7.0,7.09,2864060,TPB
2020-09-23,7.09,7.18,7.03,7.03,1634160,TPB
2020-09-24,7.03,7.09,7.02,7.06,1428130,TPB
2020-09-25,7.06,7.08,6.97,6.97,1447080,TPB
2020-09-28,6.97,7.12,6.97,7.03,1006930,TPB
2020-09-29,7.06,7.09,6.91,6.91,1121300,TPB
2020-09-30,6.97,7.02,6.93,6.96,2843160,TPB
2020-10-01,6.97,7.37,6.97,7.33,4408980,TPB
2020-10-02,7.39,7.45,7.15,7.37,3339580,TPB
2020-10-05,7.42,7.51,7.4,7.46,3570750,TPB
2020-10-06,7.45,7.56,7.37,7.45,3513190,TPB
2020-10-07,7.4,7.45,7.33,7.34,2744360,TPB
2020-10-08,7.39,7.42,7.25,7.3,1913730,TPB
2020-10-09,7.3,7.43,7.27,7.39,3478130,TPB
2020-10-12,7.45,7.48,7.36,7.36,2026030,TPB
2020-10-13,7.36,7.43,7.28,7.37,1935520,TPB
