time,open,high,low,close,volume,symbol
2020-08-03,33.05,34.27,33.05,34.27,422820,VCB
2020-08-04,34.79,35.62,34.53,35.62,616840,VCB
2020-08-05,35.62,36.1,34.97,35.97,778840,VCB
2020-08-06,35.97,36.14,35.62,36.01,802350,VCB
2020-08-07,36.1,36.1,35.84,36.06,518660,VCB
2020-08-10,36.1,36.19,35.62,35.62,576570,VCB
2020-08-11,35.88,35.92,35.58,35.71,312920,VCB
2020-08-12,35.71,35.79,35.62,35.71,310430,VCB
2020-08-13,36.1,36.1,35.66,36.1,385320,VCB
2020-08-14,36.1,36.14,35.62,35.66,820270,VCB
2020-08-17,35.66,36.06,35.53,35.79,389480,VCB
2020-08-18,35.79,35.92,35.53,35.79,331690,VCB
2020-08-19,35.79,36.1,35.66,36.1,586790,VCB
2020-08-20,36.1,36.75,36.1,36.1,1093620,VCB
2020-08-21,36.1,36.19,35.92,36.06,1281740,VCB
2020-08-24,36.1,36.79,36.1,36.49,1530010,VCB
2020-08-25,36.49,36.92,36.49,36.49,1748400,VCB
2020-08-26,36.49,36.49,36.27,36.32,1585740,VCB
2020-08-27,36.32,36.49,36.19,36.32,1003280,VCB
2020-08-28,36.36,36.49,36.23,36.27,1645430,VCB
2020-08-31,36.53,36.75,36.01,36.1,971310,VCB
2020-09-01,36.1,36.23,36.06,36.1,1625600,VCB
2020-09-03,36.4,37.62,36.4,37.49,2503810,VCB
2020-09-04,36.97,37.45,36.88,36.92,2425360,VCB
2020-09-07,36.92,37.01,36.36,36.36,1181750,VCB
2020-09-08,36.36,36.49,35.79,35.88,1985560,VCB
2020-09-09,35.66,36.19,35.45,35.75,1472680,VCB
2020-09-10,36.1,36.23,35.71,35.71,689700,VCB
2020-09-11,35.71,35.92,35.58,35.79,665690,VCB
2020-09-14,36.01,36.14,35.97,36.1,594680,VCB
2020-09-15,36.1,36.32,35.88,35.88,998970,VCB
2020-09-16,35.92,36.14,35.66,36.06,628030,VCB
2020-09-17,35.88,36.1,35.66,35.88,1043250,VCB
2020-09-18,35.84,36.1,35.84,36.06,1188400,VCB
2020-09-21,36.14,36.36,36.1,36.1,1671360,VCB
2020-09-22,36.1,36.71,36.01,36.53,1746960,VCB
2020-09-23,36.62,37.19,36.62,37.14,1395190,VCB
2020-09-24,36.58,37.49,36.58,37.45,1628730,VCB
2020-09-25,37.45,37.49,37.19,37.4,1107270,VCB
2020-09-28,37.32,37.49,37.14,37.4,1254760,VCB
2020-09-29,37.4,37.45,36.45,36.79,1609090,VCB
2020-09-30,36.97,36.97,36.45,36.58,584450,VCB
2020-10-01,37.01,37.01,36.62,36.88,367030,VCB
2020-10-02,36.88,36.97,34.79,36.53,890840,VCB
2020-10-05,36.75,36.97,36.27,36.32,811740,VCB
2020-10-06,36.45,36.71,36.19,36.49,1105060,VCB
2020-10-07,36.36,37.06,36.14,36.97,988270,VCB
2020-10-08,37.19,37.19,36.45,36.88,549140,VCB
2020-10-09,36.75,36.97,36.75,36.88,366200,VCB
2020-10-12,37.4,37.84,36.88,37.36,1574610,VCB
2020-10-13,37.4,37.8,37.19,37.62,814530,VCB
2020-10-14,37.75,38.71,37.71,38.36,1206380,VCB
2020-10-15,38.36,38.53,37.75,38.53,1424740,VCB
2020-10-16,38.49,38.53,38.06,38.36,668850,VCB
2020-10-19,38.27,38.4,38.06,38.06,1052250,VCB
2020-10-20,37.84,38.19,37.8,38.14,1075780,VCB
2020-10-21,38.19,38.53,37.36,37.49,1452050,VCB
2020-10-22,37.45,37.66,37.01,37.66,1320610,VCB
2020-10-23,37.8,38.06,37.71,38.06,657830,VCB
2020-10-26,38.06,38.19,37.4,37.4,911390,VCB
2020-10-27,37.4,37.97,37.19,37.4,1169320,VCB
2020-10-28,37.4,37.62,36.32,36.62,866330,VCB
2020-10-29,36.71,36.88,36.32,36.36,764720,VCB
2020-10-30,36.4,36.71,36.01,36.1,1090610,VCB
2020-11-02,36.1,37.32,36.1,37.32,366300,VCB
2020-11-03,37.32,37.36,36.84,36.97,308550,VCB
