time,open,high,low,close,volume,symbol
2020-08-03,77.33,78.31,75.56,77.87,164310,VIC
2020-08-04,78.84,78.84,77.69,78.22,229230,VIC
2020-08-05,78.22,78.67,75.38,77.33,434490,VIC
2020-08-06,78.22,78.4,77.42,77.78,332340,VIC
2020-08-07,77.87,78.4,77.6,77.78,182500,VIC
2020-08-10,78.22,79.91,77.69,78.4,542550,VIC
2020-08-11,79.29,79.29,77.78,77.78,215330,VIC
2020-08-12,77.78,78.67,77.69,77.69,302330,VIC
2020-08-13,78.22,79.11,77.78,78.22,458680,VIC
2020-08-14,78.22,79.11,77.69,77.69,654070,VIC
2020-08-17,77.33,78.67,77.16,77.96,376200,VIC
2020-08-18,77.6,77.96,76.62,76.89,772670,VIC
2020-08-19,76.89,77.87,76.89,76.89,347140,VIC
2020-08-20,76.98,77.51,76.44,76.44,990220,VIC
2020-08-21,76.44,77.24,76.36,76.53,376790,VIC
2020-08-24,76.89,79.11,76.89,79.11,1052840,VIC
2020-08-25,79.11,81.69,79.11,80.89,1074660,VIC
2020-08-26,80.71,81.07,80.0,80.89,547280,VIC
2020-08-27,80.09,80.89,80.09,80.89,437950,VIC
2020-08-28,81.16,82.04,79.91,79.91,636020,VIC
2020-08-31,80.0,81.33,80.0,80.0,276580,VIC
2020-09-01,80.18,83.56,79.91,82.4,675310,VIC
2020-09-03,83.11,84.98,82.4,84.0,1037080,VIC
2020-09-04,84.0,84.89,82.93,83.56,825960,VIC
2020-09-07,83.56,84.71,81.33,81.33,465400,VIC
2020-09-08,81.42,82.22,80.44,80.44,622290,VIC
2020-09-09,80.36,82.13,79.47,80.44,865880,VIC
2020-09-10,80.89,82.22,80.44,80.44,421160,VIC
2020-09-11,80.0,82.04,79.91,80.98,411350,VIC
2020-09-14,81.16,83.2,81.07,82.76,608930,VIC
2020-09-15,82.84,84.45,82.84,84.45,983560,VIC
2020-09-16,84.36,84.89,82.76,84.89,544300,VIC
2020-09-17,82.76,84.89,82.67,83.56,833870,VIC
2020-09-18,84.45,84.8,83.11,83.56,1089310,VIC
2020-09-21,83.56,85.33,83.56,85.33,571860,VIC
2020-09-22,85.33,85.51,84.09,84.09,505230,VIC
2020-09-23,84.45,85.07,84.0,84.0,111830,VIC
2020-09-24,83.38,84.89,82.67,82.67,388940,VIC
2020-09-25,84.0,84.27,82.49,82.49,412210,VIC
2020-09-28,83.73,83.73,82.49,82.49,202840,VIC
2020-09-29,83.56,83.56,81.33,81.33,394490,VIC
2020-09-30,81.33,83.02,81.33,81.33,417360,VIC
2020-10-01,81.69,83.02,81.69,82.22,212510,VIC
2020-10-02,82.22,83.56,81.78,83.56,400770,VIC
2020-10-05,83.56,83.56,81.78,82.93,90450,VIC
2020-10-06,82.93,82.93,81.6,81.6,521190,VIC
2020-10-07,81.33,83.11,80.89,82.22,381520,VIC
2020-10-08,81.78,82.58,81.33,82.04,216990,VIC
2020-10-09,82.04,83.29,82.04,83.2,309580,VIC
2020-10-12,83.2,83.56,82.22,83.47,326290,VIC
2020-10-13,83.47,83.64,83.02,83.64,271990,VIC
2020-10-14,83.64,84.45,83.56,84.45,389260,VIC
2020-10-15,84.53,86.67,80.89,86.67,1358580,VIC
2020-10-16,87.2,87.2,86.13,86.76,596590,VIC
2020-10-19,86.93,87.02,86.58,86.85,370590,VIC
2020-10-20,86.58,87.02,85.16,86.93,511250,VIC
2020-10-21,86.93,87.02,85.96,86.49,172010,VIC
2020-10-22,86.22,88.98,86.05,88.98,621610,VIC
2020-10-23,89.07,93.25,88.89,92.45,1761080,VIC
2020-10-26,96.89,97.34,93.25,93.42,974720,VIC
2020-10-27,95.11,95.2,92.45,93.96,804020,VIC
2020-10-28,93.96,95.11,87.82,89.07,1184890,VIC
2020-10-29,89.07,91.56,88.89,89.51,1327780,VIC
2020-10-30,90.22,94.67,89.51,94.67,972400,VIC
2020-11-02,94.67,95.11,93.34,94.67,691110,VIC
2020-11-03,95.11,95.11,92.8,92.8,751070,VIC
2020-11-04,92.71,92.8,91.56,92.0,495340,VIC
2020-11-05,92.62,95.02,92.45,92.89,789860,VIC
2020-11-06,94.22,94.22,92.89,93.42,592830,VIC
2020-11-09,93.42,94.4,93.07,94.31,803680,VIC
2020-11-10,94.67,95.29,93.87,93.87,781980,VIC
2020-11-11,93.87,94.22,91.56,94.05,1032780,VIC
2020-11-12,94.05,94.94,93.34,94.94,682660,VIC
2020-11-13,94.94,96.0,94.31,95.47,535350,VIC
2020-11-16,95.47,96.45,88.89,90.67,1781800,VIC
2020-11-17,91.56,94.22,90.85,94.22,862320,VIC
2020-11-18,94.14,94.22,91.56,93.25,751270,VIC
2020-11-19,93.16,93.16,91.56,92.45,1192700,VIC
2020-11-20,92.89,92.89,91.91,92.27,533840,VIC
2020-11-23,92.45,93.42,91.65,92.27,735650,VIC
2020-11-24,92.36,93.34,91.65,92.45,812220,VIC
2020-11-25,92.53,94.4,92.53,93.87,1222490,VIC
2020-11-26,93.34,94.4,92.89,94.31,545450,VIC
2020-11-27,94.22,94.31,93.16,93.51,720830,VIC
2020-11-30,93.51,93.78,92.27,92.36,1596840,VIC
2020-12-01,91.56,93.34,91.38,93.34,953230,VIC
2020-12-02,93.25,93.78,92.62,93.34,497910,VIC
2020-12-03,93.34,94.05,92.71,94.05,731750,VIC
2020-12-04,93.96,94.67,92.89,94.05,797060,VIC
2020-12-07,94.05,94.22,93.42,94.05,678660,VIC
2020-12-08,94.05,94.05,93.16,93.34,747280,VIC
2020-12-09,93.34,94.22,92.8,94.22,789790,VIC
2020-12-10,94.22,95.11,93.25,93.25,979550,VIC
2020-12-11,93.25,94.94,93.25,94.94,569360,VIC
2020-12-14,94.85,96.8,93.78,96.8,1122380,VIC
2020-12-15,96.8,96.8,94.85,95.11,1205700,VIC
2020-12-16,94.94,95.2,94.14,95.11,756200,VIC
2020-12-17,94.49,95.11,92.98,93.07,1352580,VIC
2020-12-18,93.07,94.31,92.89,93.07,1350780,VIC
2020-12-21,93.78,94.58,93.25,94.58,587100,VIC
2020-12-22,94.22,95.56,93.6,93.96,518320,VIC
2020-12-23,93.96,95.11,93.69,93.96,701430,VIC
2020-12-24,95.11,95.11,92.45,93.96,831440,VIC
2020-12-25,93.96,94.58,93.34,94.14,370300,VIC
2020-12-28,94.14,94.76,93.69,94.14,711710,VIC
2020-12-29,94.4,94.76,94.05,94.67,612360,VIC
2020-12-30,94.85,97.42,94.85,96.45,1528950,VIC
2020-12-31,96.45,97.16,93.78,96.18,656040,VIC
2021-01-04,96.36,96.89,94.67,96.0,991100,VIC
2021-01-05,95.29,97.69,95.29,97.51,1192200,VIC
2021-01-06,97.78,98.22,96.8,97.96,1283000,VIC
2021-01-07,98.14,98.67,96.89,97.87,862300,VIC
2021-01-08,97.87,100.18,97.87,99.38,1348700,VIC
2021-01-11,100.36,101.87,100.27,101.16,1536700,VIC
2021-01-12,103.11,103.11,101.07,101.69,981100,VIC
2021-01-13,101.69,101.87,98.76,98.76,1237900,VIC
2021-01-14,99.11,99.82,97.78,98.14,1439100,VIC
2021-01-15,99.02,99.74,97.6,98.85,1238000,VIC
2021-01-18,99.56,99.65,97.87,98.05,826900,VIC
2021-01-19,98.05,98.05,91.2,91.29,1367600,VIC
2021-01-20,91.56,93.34,91.11,91.82,1875500,VIC
2021-01-21,93.34,93.51,91.56,93.42,1564600,VIC
2021-01-22,93.69,94.67,93.34,93.34,1094200,VIC
2021-01-25,93.34,94.05,92.53,93.16,827300,VIC
2021-01-26,93.16,93.34,88.53,90.22,1028600,VIC
2021-01-27,90.22,91.56,88.45,88.89,1488900,VIC
2021-01-28,83.82,85.33,82.67,82.67,1742900,VIC
2021-01-29,82.22,88.45,82.22,88.36,1692900,VIC
2021-02-01,88.36,91.56,87.82,88.0,1340000,VIC
2021-02-02,88.27,94.14,88.0,94.14,1771200,VIC
2021-02-03,93.42,96.0,93.34,95.56,1698900,VIC
2021-02-04,95.47,95.56,90.67,93.34,1022400,VIC
2021-02-05,93.34,95.56,93.34,95.56,922900,VIC
2021-02-08,95.56,95.82,89.78,89.78,3422500,VIC
2021-02-09,92.45,94.67,90.22,94.4,1758000,VIC
2021-02-17,94.49,96.0,94.4,96.0,1253600,VIC
2021-02-18,95.56,97.78,94.31,97.78,1434400,VIC
2021-02-19,95.65,97.34,95.11,96.89,1433200,VIC
2021-02-22,97.07,98.4,94.22,97.51,1481000,VIC
2021-02-23,96.27,99.29,95.56,97.78,1393900,VIC
2021-02-24,99.02,99.02,94.22,96.18,950100,VIC
2021-02-25,97.34,97.69,94.31,96.8,1013500,VIC
2021-02-26,94.4,97.69,94.4,96.89,926800,VIC
2021-03-01,96.89,97.69,95.74,96.45,777700,VIC
