time,open,high,low,close,volume,symbol
2020-08-03,94.5,96.2,94.5,96.0,297320,VJC
2020-08-04,96.0,97.5,96.0,97.0,323790,VJC
2020-08-05,97.0,100.0,96.1,99.8,413720,VJC
2020-08-06,100.0,102.1,100.0,101.0,362410,VJC
2020-08-07,101.0,101.2,99.2,100.3,255020,VJC
2020-08-10,100.3,101.0,100.0,100.0,339710,VJC
2020-08-11,100.0,100.1,99.1,99.5,240830,VJC
2020-08-12,99.8,100.5,99.7,100.5,298910,VJC
2020-08-13,101.6,101.6,100.6,101.6,421970,VJC
2020-08-14,101.6,101.7,100.3,100.6,362250,VJC
2020-08-17,100.6,100.6,98.8,100.2,265010,VJC
2020-08-18,100.0,100.2,98.9,99.8,267090,VJC
2020-08-19,99.8,100.0,99.6,100.0,245440,VJC
2020-08-20,99.9,100.0,98.8,99.6,481250,VJC
2020-08-21,99.7,99.7,99.1,99.6,270450,VJC
2020-08-24,99.7,100.4,99.7,100.0,537630,VJC
2020-08-25,100.1,100.4,99.2,99.5,560970,VJC
2020-08-26,99.8,100.6,99.6,100.6,460680,VJC
2020-08-27,100.5,100.6,99.5,99.6,276490,VJC
2020-08-28,99.8,100.8,99.8,100.6,480460,VJC
2020-08-31,101.0,103.2,100.7,103.0,489880,VJC
2020-09-01,103.7,105.5,103.6,105.5,686820,VJC
2020-09-03,106.6,107.9,106.5,107.6,607480,VJC
2020-09-04,105.5,107.6,105.5,107.6,663890,VJC
2020-09-07,108.0,108.0,105.6,107.0,485630,VJC
2020-09-08,107.0,107.0,105.4,106.8,404020,VJC
2020-09-09,106.0,106.0,104.4,106.0,527620,VJC
2020-09-10,106.0,106.2,105.5,106.0,460670,VJC
2020-09-11,106.0,106.0,104.5,105.8,409590,VJC
2020-09-14,106.0,107.4,106.0,107.4,551420,VJC
2020-09-15,107.5,108.0,106.0,106.9,415560,VJC
2020-09-16,106.9,106.9,106.0,106.9,443260,VJC
2020-09-17,106.9,106.9,105.9,105.9,566330,VJC
2020-09-18,105.3,106.1,105.3,106.0,356340,VJC
2020-09-21,106.0,107.0,106.0,106.5,416780,VJC
2020-09-22,106.5,106.8,105.9,106.7,641230,VJC
2020-09-23,106.7,106.8,106.0,106.5,370730,VJC
2020-09-24,106.1,106.4,105.5,105.8,353690,VJC
2020-09-25,105.8,106.2,105.3,105.6,314150,VJC
2020-09-28,105.7,105.8,105.0,105.5,331270,VJC
2020-09-29,105.4,105.4,104.0,104.0,374370,VJC
2020-09-30,103.8,105.3,103.8,104.6,413700,VJC
2020-10-01,104.7,105.5,104.6,105.5,445300,VJC
2020-10-02,105.5,105.6,104.3,104.9,384660,VJC
2020-10-05,105.0,105.4,104.8,104.8,306570,VJC
2020-10-06,104.8,104.9,103.9,104.5,408750,VJC
2020-10-07,104.3,104.3,103.0,104.0,356210,VJC
2020-10-08,104.0,104.0,103.3,104.0,405290,VJC
2020-10-09,104.0,104.8,104.0,104.4,380200,VJC
2020-10-12,104.4,105.0,104.2,105.0,496670,VJC
2020-10-13,105.3,105.5,104.7,105.0,338730,VJC
2020-10-14,105.0,105.0,104.0,104.6,297820,VJC
2020-10-15,104.5,106.0,103.5,106.0,500370,VJC
2020-10-16,105.8,105.9,104.6,105.0,417480,VJC
2020-10-19,105.0,105.0,104.0,104.5,334870,VJC
2020-10-20,104.5,104.5,103.5,104.5,439430,VJC
2020-10-21,104.4,104.6,103.8,103.9,467800,VJC
2020-10-22,103.8,105.0,103.4,105.0,506260,VJC
2020-10-23,105.0,105.3,104.0,105.3,677260,VJC
2020-10-26,105.3,105.4,104.5,104.5,607970,VJC
2020-10-27,104.5,105.1,104.0,104.5,618430,VJC
2020-10-28,104.5,105.1,102.5,104.0,729460,VJC
2020-10-29,104.0,104.0,100.1,102.3,588780,VJC
2020-10-30,102.1,102.1,99.4,101.2,519620,VJC
2020-11-02,101.0,104.9,100.5,104.9,507940,VJC
2020-11-03,104.9,105.6,103.0,105.5,582490,VJC
2020-11-04,105.5,105.7,105.3,105.5,566300,VJC
2020-11-05,105.5,105.8,105.4,105.7,542890,VJC
